mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_acc,std_test_acc,mean_test_ba,std_test_ba,mean_test_pp,std_test_pp,mean_test_di,std_test_di,mean_test_tpr,std_test_tpr,mean_test_tnr,std_test_tnr,mean_test_posrat,std_test_posrat,mean_test_tradeoff_met,std_test_tradeoff_met,param_sample_weight,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04117417335510254,0.004015578933768935,0.018062925338745116,0.0005109974096630901,0.7408228175994145,0.0036978844701904896,0.7293512805573059,0.0046894752708271075,0.3788901137713531,0.005377591314617619,0.2806405590140183,0.00520716511301859,0.7506565646542536,0.00734393496800994,0.7080459964603583,0.00991465435590329,0.5542223131220048,0.020399903770732458,0.652439438888129,0.01236314416423042,"[1, 1, 1, 1]",0.7303874769051384,0.7313765191000414,0.7267167900819224,0.7361288353386664,0.7221467813607605,0.7293513055162697,0.0046894215500182124,80
0.041204071044921874,0.008155762938000423,0.017441320419311523,0.00021578361397246197,0.7572743224644063,0.0051239519421230955,0.8139602943909825,0.0050940158884335215,0.29884862111960364,0.007009042263376046,0.7767554969644638,0.019199517607954873,0.6175109520734517,0.0042173965521580155,1.0104096367085131,0.011298507363896397,1.0093599477136905,0.023746846965351235,0.8134354498935712,0.011296697355740654,"[1.090119384675988, 0.8569223871853865, 0.7906338492326198, 2.1497593642700266]",0.8050626126532826,0.8121997974833627,0.8173632730728052,0.8197762353569957,0.8153995533884663,0.813960080071642,0.005094141707381379,2
0.03696475028991699,0.001628217328171522,0.017761993408203124,0.0006457966801296149,0.7587920028905215,0.010649131351985383,0.7534930080741206,0.007575928347563887,0.32792137658533715,0.019701789092141618,0.40082061371549893,0.02466724770077742,0.6815611303547356,0.01903890973199434,0.8254248857935054,0.03168034795329973,0.6787534272349415,0.03570193544199789,0.6801572787948387,0.0141043270711913,"[1.1, 0.9, 1.0, 1.4]",0.749318064579348,0.7591491030073173,0.7548994158608735,0.7628057359467044,0.7412927209763596,0.7534929075118435,0.0075758648144979915,57
0.03629140853881836,0.0036716613595819576,0.01737384796142578,0.0004874048199808195,0.7638502965824503,0.010266337381050074,0.7407696858548821,0.008038787928037387,0.32069528459314445,0.018392139716570353,0.3415366575293792,0.022903597832220787,0.6770218909163817,0.017639335011734817,0.8045174807933828,0.03201278798179849,0.6222871409959063,0.03704154072310077,0.649654515956144,0.013359513044696939,"[1.1, 0.9, 1.0, 1.0]",0.7347397953086671,0.7436297640104614,0.7466163793209861,0.7504040357341696,0.7284584549001265,0.7407695406123119,0.008038745584260952,77
0.0378148078918457,0.002684809108609613,0.017458057403564452,0.0002453649266178377,0.7819876779222033,0.0035381750491883324,0.743603250172792,0.0020716998690620513,0.2610801786711724,0.0065915677333129915,0.4345474343017222,0.010025885276015702,0.5901764900748186,0.008023208615109018,0.8970300102707656,0.010293637954662191,0.7247150195297818,0.02418712058943015,0.6574457548023002,0.014734264109018428,"[1.1, 1.0, 0.8, 1.0]",0.7425089007190051,0.7429129637566825,0.7472019813802108,0.7443069893341283,0.7410854156739336,0.7436032238130884,0.0020716818802876723,70
0.0386622428894043,0.00229544876970742,0.01756281852722168,0.0006439517028500263,0.7214085485038372,0.0037661263368734795,0.7759811175681198,0.006215865600401949,0.4085172513498267,0.004700727477510022,0.45994096480179375,0.013086990063507834,0.7720402940636174,0.004662532999842023,0.7799219410726221,0.012047911980884814,0.7238669832151438,0.030921250896217743,0.7479536386393806,0.015412467279593863,"[1.0, 0.8, 1.0, 1.7]",0.7765104752530327,0.7788454780810145,0.7759563673187226,0.7837577265543325,0.7648355406334966,0.7759811303188108,0.006215791281799061,26
0.03818917274475098,0.0019899511261353884,0.01754312515258789,0.00023081063139391688,0.7700164552729161,0.005210108110010557,0.7433934727577525,0.00417799417486719,0.3040273735124176,0.010001948413717968,0.36244685064011006,0.012494187437788823,0.6550349005904375,0.012350453716210862,0.8317520449250673,0.016033062535089244,0.6446705497838681,0.022616244402326995,0.6498527251871528,0.013605559994208895,"[1.0, 1.0, 0.8, 1.0]",0.7398851410455985,0.7436909490913657,0.74660666957944,0.7490737039977757,0.7377109000745818,0.7433933882522193,0.0041779793364627,72
0.0408625602722168,0.0033810454995160965,0.018917226791381837,0.0027966150239357615,0.7699682799146117,0.005229279301081982,0.7433812357415714,0.004177194496078501,0.30417189958733026,0.01014375423436619,0.3622571855650584,0.012645815986648896,0.6552367169375616,0.012615726180983874,0.8315257545455813,0.016255398094902448,0.6444472490118175,0.022420286874852178,0.6498419829746895,0.01359127395971623,"[1.0, 0.9, 0.8, 1.0]",0.7398851410455985,0.7436297640104614,0.74660666957944,0.7490737039977757,0.7377109000745818,0.7433811515307925,0.004177179426976569,73
0.03928532600402832,0.0030576317650378056,0.01724863052368164,0.00018628539349842895,0.7770739103051871,0.0044961615761647,0.7578467059258932,0.0015053828928596649,0.26854714745488606,0.007544405676502413,0.5098587465932712,0.011975853914212709,0.5955223842621924,0.0074247851187129255,0.9201710275895941,0.006733775377760617,0.7898202314272916,0.025047826377901285,0.692671307844742,0.015084524958171234,"[1.1, 0.8, 0.8, 1.2]",0.7587751313469182,0.7589220037893394,0.7559874714277339,0.7594840605484723,0.7560648625170021,0.7578467282889682,0.0015053716585668605,49
0.038914728164672854,0.005466156709890632,0.019861984252929687,0.0028230916501470692,0.7525052288596387,0.009523625591091002,0.7720751288902709,0.00919414480262568,0.3377730343073064,0.01726727192070328,0.4806299974331596,0.03607213166343022,0.6890253837741895,0.01638742492821202,0.8551248740063521,0.0343455740938973,0.753777918692359,0.044426007169849444,0.7214016512332744,0.01566725857111627,"[1.0, 0.9, 0.9, 1.7]",0.7642312988239293,0.7761830998625803,0.7807682338011679,0.7809191201146919,0.7582738918489849,0.7720749399551599,0.009194114663903978,35
