mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_acc,std_test_acc,mean_test_fair,std_test_fair,param_sample_weight,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.939792823791503,0.4776956291597653,0.37401347160339354,0.09552676835692314,0.6592801789995276,0.004443296913785135,0.521035871205233,0.019972852167684615,"[0.9, 1.0, 1.4, 1.0]",0.6045800053606473,0.5841669728181906,0.5853067123336274,0.5951336037156965,0.5816028312837397,0.5901581977187345,0.008548440639895601,55
11.237164831161499,0.17437392827467565,0.33577923774719237,0.03928878805171862,0.6596908376755213,0.004563870042521692,0.5189778419165123,0.021397555530602207,"[1.0, 1.1, 1.2, 0.8]",0.6045800053606473,0.5841669728181906,0.58118828580181,0.5951336037156965,0.5816028312837397,0.5893345461409368,0.0091532208073113,64
10.959248161315918,0.4708865791966817,0.3254729747772217,0.07137708144667566,0.6655537121603106,0.006500898328758157,0.5281841106227914,0.019489124603567727,"[0.9, 1.1, 1.5, 0.8]",0.6111756845557128,0.5904138941666811,0.5921390385874032,0.6033035869695642,0.5873123526783935,0.5968690721498315,0.00896062884867618,27
11.686519670486451,0.9674766997353903,0.3488330841064453,0.036682320046616146,0.6723097895563622,0.004400465918895962,0.521035871205233,0.019972852167684615,"[0.9, 1.0, 1.7, 0.8]",0.6131913656034238,0.5904138941666811,0.591710297978816,0.6027078654430575,0.5853407287120096,0.5966730404376955,0.010015114580208451,30
11.00946111679077,0.5747344161284912,0.3779603481292725,0.061663508764776394,0.6581243688021882,0.004672555252812199,0.5283272633969206,0.019338543611139326,"[0.8, 1.0, 1.3, 0.8]",0.6065228557188942,0.585638507832614,0.5882392754434148,0.5984160888244556,0.5873123526783935,0.5932259330016337,0.00801452332337091,37
11.566724014282226,0.47872412606541803,0.32703375816345215,0.06717690603978549,0.6608293125728504,0.00493815335939074,0.5187638672499116,0.021516516419954654,"[1.0, 1.1, 1.3, 0.8]",0.6045800053606473,0.584999190533162,0.58118828580181,0.5951336037156965,0.5830818641455895,0.589796794366892,0.008823234798155924,62
11.3559720993042,0.5952886407692716,0.40406079292297364,0.1019508132320054,0.6732483830528574,0.004006034195445884,0.5189778419165123,0.021397555530602207,"[1.0, 1.1, 2.0, 0.8]",0.6131913656034238,0.5904991812314004,0.5875918714469985,0.6027078654430575,0.5865752786985439,0.5961133472072979,0.010298222308741906,31
11.46843695640564,0.6195065292934748,0.37929601669311525,0.06922691569466978,0.6745853046928649,0.007185334172085956,0.4999378642669196,0.027888881158427786,"[1.0, 1.0, 2.0, 1.0]",0.6024071557879014,0.5675108035129179,0.5875918714469985,0.5934573629396341,0.5853407287120096,0.5872614901919914,0.011503951049676974,74
10.991044902801514,0.27214153317420425,0.3257394313812256,0.05595459596153325,0.6476472674886014,0.015977325794224957,0.5814536136738141,0.10328351479429104,"[0.8, 1.1, 1.1, 0.8]",0.6065228557188942,0.5893874776415267,0.5891834532333315,0.7008620999047702,0.5867963164075161,0.6145497610318895,0.04372819391590878,9
12.500982856750488,0.512106193936505,0.40671358108520506,0.08499021311031542,0.6571142087038327,0.0045061690414223135,0.5283272633969206,0.019338543611139326,"[0.9, 1.1, 1.5, 1.0]",0.6065228557188942,0.5845921404485748,0.5882392754434148,0.5984160888244556,0.5858333198165437,0.5927208522111412,0.00844442152866583,41
14.717869424819947,1.6737549244171215,0.4262336254119873,0.10786023107950404,0.6607109928713238,0.015059964185095129,0.5814536136738141,0.10328351479429104,"[0.8, 1.1, 2.1, 0.9]",0.6151342159616707,0.5957196860547365,0.5955870388785202,0.7084363616321314,0.590534213835786,0.6210816622115042,0.04447973081781169,2
15.434544992446899,1.919875038724199,0.46491084098815916,0.18358223128017545,0.6707035053282862,0.004715407059509388,0.5278682724051832,0.01939587339557794,"[0.9, 1.1, 2.0, 0.8]",0.6151342159616707,0.5904991812314004,0.5946428610886034,0.6053474188206509,0.5908057672313479,0.5992860334476171,0.00957708573256552,18
13.774940252304077,1.6583394726272704,0.35285134315490724,0.077267245414725,0.6489538065211958,0.016533529535946404,0.5823071373950693,0.10149199751530454,"[0.8, 1.1, 1.3, 0.8]",0.6076365087979947,0.5904338450255657,0.5891834532333315,0.6996242564774147,0.5912742962563562,0.6156297924079484,0.042534923261935295,7
12.005944633483887,0.8794259516718946,0.45026822090148927,0.10270593000760836,0.6701779340865551,0.005376042573690372,0.5283272633969206,0.019338543611139326,"[0.8, 1.0, 1.8, 0.8]",0.6151342159616707,0.5909243488617846,0.5946428610886034,0.6059903505518167,0.5895712172448138,0.5992527533907559,0.009818093758959444,19
11.840701341629028,0.3858021619526966,0.3865058898925781,0.11771575039451435,0.6558327609681396,0.015857493174251152,0.5828181503895703,0.10250111421272946,"[0.8, 1.1, 1.5, 0.8]",0.6111756845557128,0.595634398990017,0.5927933005423096,0.7057495980498789,0.5912742962563562,0.6193248037639495,0.043788838254676596,5
10.956111526489257,0.8450036783718642,0.3305696487426758,0.059010679634572766,0.6561136852231038,0.01592864636076363,0.5814536136738141,0.10328351479429104,"[0.8, 1.1, 1.9, 1.0]",0.6111756845557128,0.595634398990017,0.59308321637732,0.7057495980498789,0.5882753492693659,0.6187830197196322,0.04415376630815005,6
11.472063493728637,0.3986029244865624,0.35001325607299805,0.048457490694901545,0.6633724040827016,0.005243707847281012,0.4999378642669196,0.027888881158427786,"[1.0, 1.0, 1.1, 0.8]",0.5977543269510828,0.5612638821644275,0.58118828580181,0.5864663446729932,0.5816028312837397,0.5816550462984086,0.011818596351047556,77
